,Year,Waste_types,Haz_NonHaz,A,B,C10_C12,C13_C15,C16,C17_C18,C19,C20_C22,C23,C24_C25,C26_C30,C31_C33,D,E36_E37_E39,F,G_U_X_G4677,EP_HH,Total_waste_gen,Energy_recovery,Incineration,No_backfilling,Backfilling,Deposit_land,Treated_waterbodies,Total_treatment
20,2010,Animal & mixed food waste,Total,31586.92343522085,0.0,1501227.642133216,1.0,0.0,404.0,1.0,1337.5733333333333,2.6803237500000003,3004.16,385.69470598888887,50.17,7744.036866976362,0.0,0.0,839644.2301779181,343787.21400000004,2729176.324976404,78167.98,452402.675,799004.9289895026,0.0,66956.3836,9043.883435220852,1405575.8510247238
21,2010,Vegetal wastes,Total,0.0,0.0,365108.20081148704,0.0,11.5154,581.097,4.0,297.0,3.467879999999999,1.0,50.80000000000001,3.0,152.57,1.0,0.0,208130.05737185024,3954758.237900002,4529101.946363339,0.0,45384.0,4919997.088194661,0.0,162752.88,0.0,5128133.968194661
22,2010,"Animal faeces, urine & manure",Total,0.0,0.0,7919.141743384834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.7460788057779,0.0,9640.88782219061,0.0,408932.0,8136.35,0.0,3827.78,1643.0400000000004,422539.17
23,2010,Household & similar wastes,Total,2546.8751089093134,0.0,576040.2036993235,16751.38210015339,14133.658972112558,192444.03606953184,667.117405304815,555001.9479349861,28337.102362635625,363853.9608822495,213957.27753895192,38671.972584012656,11160.799098125923,98.54361446537204,0.0,11415946.489734685,16385596.352600005,29815207.71970545,15810.73,4106616.06,774350.79,0.0,13867715.497000001,2546.8751089093134,18767039.95210891
24,2010,Mixed & undifferentiated materials,Total,7085.76923076923,18983.0,351369.35623461363,5304.671238677617,9523.590623648288,174320.23877238872,1812.5919351742969,1246239.3202461146,12526.416531871582,74560.2220816483,34503.985309555064,14815.62325883716,14505.990838406247,1939.1080003578454,19812.3105,836046.8957024419,2371983.7969999984,5195332.887504503,836.53,152508.94499999998,363492.6994608947,1856.631332813718,509281.6253307693,18983.0,1046959.4311244776
25,2010,Sorting residues,Total,0.0,0.0,2369.290575590715,0.0,0.0,6544.726002383492,4.0,6017.021872721367,468.707416272062,6710.764690301742,1562.399,1.0,262.47797605344294,847.9493243243245,112645.27953599999,22871.97,0.0,160305.58639364716,208137.66,12216.34,279779.815,14787.0,11194017.703,0.0,11708938.518
26,2010,Common sludges,Total,0.0,0.0,56447.71556504979,41.647945726127226,91.32728251438351,2583.7572563579292,11.62241248002462,1792.3852603750254,450.0693866745429,2789.164693014397,1045.737632237382,98.62740785365676,655.2200373731044,210669.87854940057,0.0,149098.7091936665,0.0,425775.86262272345,9532.8,249561.0,1166956.0233138537,21732.0,39910.71000000001,103582.38528771428,1591274.918601568
27,2010,Mineral waste from construction & demolition,Total,0.0,0.0,1014.0732087574568,36.0,3092.001,68.0,42.0,7638.2389148458105,16813.552368625442,28816.305443849888,808.2446193902899,77.0,2314.119366666667,1371.8505067567567,56122745.94144961,114119.3835465756,174129.917,56473086.62742508,0.0,56.92,49143440.94815804,1783998.7449049375,2090963.0,0.0,53018459.61306298
28,2010,Other mineral wastes,Total,0.0,17612787.0,50853.21638321581,33.683219688203174,109.9511260321917,12.89308289028516,755.0419642954766,105982.87874531104,166053.5787938787,168039.36306170293,27481.952954253517,70.73057628508887,3396.043595504745,5457.714699408596,43873.04831000001,14242.894652221723,429.71,18199579.701164693,0.0,0.0,417184.2391951871,307297.49890183983,835700.84,17612787.0,19172969.578097027
29,2010,Combustion wastes,Total,0.0,0.0,17.0,0.0,71.5,3113.0,0.0,81.67636363636362,19299.7675010762,261638.0540196079,26.06996562106297,25.188928,2832985.3282970185,39.0,0.0,10338.50908,0.0,3127635.0941549605,670.0,0.0,183642.63021848738,46631.75416074458,3005457.6720000007,0.0,3236402.056379232
