,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,A,B,C10-C12,C13-C15,C16,C17_C18,C19,C20-C22,C23,C24_C25,C26-C30,C31-C33,D,E36_E37_E39,F,G-U_X_G4677,EP_HH,Total waste generation,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,Energy recovery,Incineration,Recovery other than energy recovery - Except backfilling,Recovery other than energy recovery - Backfilling,Deposit onto or into land,Land treatment and release into water bodies,Total waste sent to final treatment
77,2010,10.3,Sorting residues,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,10.3,Sorting residues,Total,204267,0,257289.8,0,10027156.552999999,0,10488713.353
80,2010,11,Common sludges,Total,0,0,13236.234613727045,0.11461239279390467,2.3372825143835225,1587.9002563579288,0.62241248002462046,90.385260375025211,20.051886674542985,47.515359681063181,69.702532237382059,7.5494078536567519,24.020037373104408,0,0,136969.79341870049,0,152056.22708036745,2010,11,Common sludges,Total,0,182830,1014282.2536822407,18431.538020289834,33041.800000000003,0,1248585.5917025306
83,2010,12.1,Mineral waste from construction & demolition,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51072799.557767056,0,0,51072799.557767056,2010,12.1,Mineral waste from construction & demolition,Total,0,0,46109408.566951014,620493.18911165977,1821672.7100000002,0,48551574.466062672
86,2010,"12.2, 12.3, 12.5",Other mineral wastes,Total,0,12612182,49720.982758215803,0.51321968820317154,43.832886032191659,4.7264162236184948,86.041964295476845,94218.69318975549,105943.3239487643,75115.748082370643,322.93239609651016,38.730576285088873,910.54392883807861,594.75186157075859,0,10812.523771863849,0,12949995.345000001,2010,"12.2, 12.3, 12.5",Other mineral wastes,Total,0,0,66694.679999999993,86776.816999999995,751838.39,12612182,13517491.887
89,2010,12.4,Combustion wastes,Total,0,0,0,0,0,0,0,0,14906.235000000001,232577.432,0,0,2054342.0209999999,0,0,0,0,2301825.6880000001,2010,12.4,Combustion wastes,Total,0,0,18567.294000000002,0,2217196.7319999998,0,2235764.0260000001
92,2010,12.6,Soils,Total,0,0,0,0,0,0,445.185,0,0,0,0,0,0,0,36534288.581047013,409213.14500000014,0,36943946.911047019,2010,12.6,Soils,Total,0,0,9856335.1073541977,9919894.4940659106,14904084.961000001,0,34680314.562420107
95,2010,12.7,Dredging spoils,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11095337.729482433,0,0,11095337.729482433,2010,12.7,Dredging spoils,Total,0,0,887.99738219895289,0,350119.34100000001,11095337.729482433,11446345.067864632
98,2010,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Total,20918.730376067157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20918.730376067157,2010,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Total,6929,0,5555.4939999999997,325.113,1459311.9980000001,0,1472121.6050000002
104,2012,01.1,Spent solvents,Total,0,0,18.994378923807446,12.665725905283656,22.629330886842482,961.7817005302918,25.497205752263248,43831.792165254199,13.248986629122586,469.28484138906919,493.32974847346424,113.72694831139816,2.790621863337476,0.62578816499962608,0,1451.2575579159254,0,47417.625,2012,01.1,Spent solvents,Total,0,0,31.32,0,11.58,0,42.9
107,2012,01.2,"Acid, alkaline or saline wastes",Total,0,0,5799.6590110650595,3.5683993594219388,30.912451667056594,12862.910973669404,3359.9106962588403,87845.231527400407,4548.556574883276,32458.433155738097,8190.8569256389637,1866.9203039406714,61.44796683044175,244.29608096675418,0,15340.451932581585,0,172613.15599999999,2012,01.2,"Acid, alkaline or saline wastes",Total,0,0,944.37099999999998,0,76531.224000000002,0,77475.595000000001
110,2012,01.3,Used oils,Total,22067.114677993137,4639.0839999999998,4554.6123518191662,57.775083103169152,65.8964668806383,2900.7706465894553,3251.8215985135744,38932.481483860807,14792.609874795267,17499.564165892683,7072.3948438097341,3049.8987306890886,24100.530475930929,21.308893555613995,0,57500.165384559863,5053.006999999996,205559.03567799309,2012,01.3,Used oils,Total,101054,1285,2531.0169999999998,0,402.56,0,105272.57699999999
113,2012,"01.4, 02, 03.1",Chemical wastes,Total,95280.942207814092,566.39599999999984,926.05278025934058,3629.5247815361868,616.68708707139479,34545.758771899018,6513.674480680269,401121.78761672444,4767.8070000565749,92954.931005722086,11620.058489318235,2706.3602032349281,1069.2520945009976,13.306395654798715,0,94707.296293341496,4924.3739999999998,755964.20920781384,2012,"01.4, 02, 03.1",Chemical wastes,Total,0,128680,114099.91099999999,0,28030.131000000008,0,270810.04200000002
116,2012,03.2,Industrial effluent sludges,Total,0,15265.453,66167.907848824063,1298.8224510478476,20.348811225110037,81079.226650051103,1461.7505493820136,27349.486007385553,6601.3613087587237,22490.134435521843,2939.6476480000665,204.08519651197454,4676.0815332740494,11836.41385616462,0,11356.104613853091,0,252746.82391000006,2012,03.2,Industrial effluent sludges,Total,0,0,7209.1466100000007,190.55520000000001,12941.45667,0,20341.158479999998
119,2012,03.3,Sludges & liquid wastes from waste treatment,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,03.3,Sludges & liquid wastes from waste treatment,Total,0,0,373.69890000000004,67.753799999999998,91212.693299999999,0,91654.145999999993
122,2012,05,Health care & biological wastes,Total,1015.148533206605,3.763999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,236922.45700000005,0,237941.36953320666,2012,05,Health care & biological wastes,Total,0,106892,119.78999999999999,0,104827.69500000001,0,211839.48499999999
125,2012,06.1,"Metallic wastes, ferrous",Total,0,0,0,0,0,0,0,0,0,218415.57100000003,0,0,0,0,1204832.6620000005,1098686.142,10721.123000000001,2532655.4980000006,2012,06.1,"Metallic wastes, ferrous",Total,0,0,8555183.762000002,229660.92,1800.7260000000001,0,8786645.4080000017
128,2012,06.2,"Metallic wastes, non-ferrous",Total,0,0,0,0,0,0,0,0,0,35310.919000000009,0,0,0,0,271750.11699999979,135013.93100000007,2755.8810000000003,444830.84799999982,2012,06.2,"Metallic wastes, non-ferrous",Total,0,5140,1511666.5899999999,2823.33,1580.81,0,1521210.73
131,2012,06.3,"Metallic wastes, mixed",Total,4254.2976792186528,3183.4359999999997,638.83922627253571,75.625401959667386,114.26866302359051,863.56786961751288,159.3251006198285,1413.8069158808587,218.08598510750446,13833.807441976689,10262.448244278221,997.55630912601146,577.22759732213353,16.410780723610699,507480.92900000006,2471560.1459280867,254269.18100000001,3269918.9591432135,2012,06.3,"Metallic wastes, mixed",Total,0,0,3885315.5700000003,0,338.42599999999999,0,3885653.9960000003
134,2012,07.1,Glass wastes,Total,0,0,2323.6963607321591,27.567251303616359,69.700972541652348,67.598186585113723,5.7904244755649335E-2,1102.1370025183817,29416.425499354267,32.676149211329452,147.17788459076164,36.314729041096555,2.7052895573801594,0,82377.372999999992,387773.24698609614,576669.53400000022,1080046.2112157769,2012,07.1,Glass wastes,Total,0,0,1284459.5864883719,210.9,40203.053,0,1324873.5394883719
137,2012,07.2,Paper & cardboard wastes,Total,5678.3183615629359,0,52533.397863886879,4966.2476914502013,1675.9036194384439,951804.00988729694,427.09285486767669,35700.481749480765,5521.0531400401078,11116.797702102011,37405.150989009941,26360.510592982213,1440.5548463705388,575.68357980492203,0,3804527.0164912688,1096804.3229999992,6036536.5423695613,2012,07.2,Paper & cardboard wastes,Total,0,0,4248169.3450000007,0,4104.4160000000002,0,4252273.7610000009
140,2012,07.3,Rubber wastes,Total,10695.843824189926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173011.215,7429.5330000000049,191136.59182418991,2012,07.3,Rubber wastes,Total,118604,0,20831.021999999997,0,1837.9,0,141272.92199999999
143,2012,07.4,Plastic wastes,Total,82293.320531893623,0,37923.08353034356,4262.4396029739819,2642.3856298874766,15141.977157964757,5664.8715415631859,96030.589922951578,2898.2012251217266,8333.6713331039155,25296.770243562529,21206.757285401596,781.99101812068625,2726.6067114140501,37622.37000000001,539986.58246741712,98444.751000000004,981256.36920171988,2012,07.4,Plastic wastes,Total,0,0,366880.85047826089,220,115847.954,0,482948.80447826092
